epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,15500.4,0.81186,0.725,1.1741,0.72203,0.68274,0.76007,0.60742,0.75113,0.65525,1.16045,0.004654,0.004654,0.004654
56,15779.5,0.81018,0.72442,1.17208,0.72959,0.68243,0.76107,0.60873,0.74645,0.65384,1.15446,0.004555,0.004555,0.004555
57,16058.4,0.806,0.72052,1.16871,0.71806,0.68655,0.75765,0.60614,0.74758,0.65672,1.15441,0.004456,0.004456,0.004456
58,16334.2,0.80468,0.71327,1.16074,0.72063,0.68569,0.75791,0.6075,0.74108,0.65529,1.14871,0.004357,0.004357,0.004357
59,16611.2,0.79853,0.70999,1.16437,0.72526,0.68863,0.7609,0.61052,0.74342,0.65274,1.15287,0.004258,0.004258,0.004258
60,16888.4,0.79707,0.70394,1.15995,0.71615,0.69078,0.75992,0.60927,0.74224,0.65299,1.15131,0.004159,0.004159,0.004159
61,17164,0.79161,0.70309,1.15987,0.71415,0.69322,0.75861,0.60828,0.74094,0.65602,1.15389,0.00406,0.00406,0.00406
62,17439.1,0.78942,0.70006,1.15826,0.72535,0.69049,0.76352,0.6128,0.73789,0.64806,1.15174,0.003961,0.003961,0.003961
63,17719.5,0.78113,0.69181,1.15442,0.73928,0.68273,0.76614,0.61533,0.73302,0.64502,1.14687,0.003862,0.003862,0.003862
64,18005.4,0.78213,0.69309,1.15624,0.7374,0.68951,0.76862,0.61749,0.73374,0.64219,1.14687,0.003763,0.003763,0.003763
65,18283.2,0.78523,0.69027,1.15623,0.72532,0.70048,0.76844,0.61702,0.73371,0.64512,1.14789,0.003664,0.003664,0.003664
66,18558.8,0.77785,0.68337,1.14694,0.72306,0.70263,0.77042,0.61832,0.73355,0.64044,1.14629,0.003565,0.003565,0.003565
67,18835.7,0.77266,0.68082,1.14549,0.72625,0.7012,0.76925,0.61883,0.73158,0.64172,1.14601,0.003466,0.003466,0.003466
68,19111.4,0.77616,0.68175,1.14994,0.72497,0.70279,0.77043,0.61855,0.73356,0.64168,1.14577,0.003367,0.003367,0.003367
69,19386.4,0.76969,0.67316,1.1417,0.72384,0.70508,0.77002,0.61914,0.73317,0.63886,1.14572,0.003268,0.003268,0.003268
70,19663.2,0.76948,0.66836,1.14016,0.72569,0.70247,0.76996,0.61932,0.73022,0.63633,1.14293,0.003169,0.003169,0.003169
